"ensemble_id","steepness","steepness_prior_quantile","tag_mixing_k_cutoff","tag_mixing_source_file","tag_reporting_flag2","tag_reporting","tag_tau","tau_fish_pars4","m_age40_quarterly","lorenzen_log_intercept","m_prior_quantile","effort_creep_primary","effort_creep_secondary","effort_source_file","initialization","pairing_version","zero_mixing_events","tag_reporting_zero_mixing_exclusions","model_label"
"ensemble-001",0.916195781737906,0.745,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",5.14,1.42069578783722,0.0883028515366027,-2.42698287816089,0.705,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E001 | h=0.916 | tau=5.14 | K=0.10 | RR=include | M0=0.0883/qtr | creep=0.5/0.25%"
"ensemble-059",0.725278314179954,0.025,0.25,"bet.2026.mix-0.25.ini",1,"exclusion",5.2,1.43508452528932,0.077498842818223,-2.55749227411208,0.485,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,0,"E059 | h=0.725 | tau=5.20 | K=0.25 | RR=exclude | M0=0.0775/qtr | creep=0.5/0.25%"
"ensemble-060",0.812188029717643,0.175,0.3,"bet.2026.mix-0.3.ini",0,"inclusion",5.14,1.42069578783722,0.0656578361897673,-2.72329832222224,0.185,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,14,"E060 | h=0.812 | tau=5.14 | K=0.30 | RR=include | M0=0.0657/qtr | creep=0.5/0.25%"
"ensemble-061",0.885672068582653,0.545,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",4.96,1.37624402526639,0.0844351439497381,-2.47177156654086,0.635,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E061 | h=0.886 | tau=4.96 | K=0.20 | RR=exclude | M0=0.0844/qtr | creep=2.0/1.00%"
"ensemble-062",0.818033921729831,0.195,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",5.14,1.42069578783722,0.0730548862523724,-2.61654425387289,0.375,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E062 | h=0.818 | tau=5.14 | K=0.25 | RR=include | M0=0.0731/qtr | creep=1.5/0.75%"
"ensemble-063",0.830928058969153,0.245,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",5.14,1.42069578783722,0.0854855388171595,-2.45940805398605,0.655,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E063 | h=0.831 | tau=5.14 | K=0.15 | RR=include | M0=0.0855/qtr | creep=0.5/0.25%"
"ensemble-064",0.936867444469897,0.865,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.0676467319446423,-2.69345623381541,0.235,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E064 | h=0.937 | tau=5.14 | K=0.20 | RR=exclude | M0=0.0676/qtr | creep=0.5/0.25%"
"ensemble-065",0.933075845818822,0.845,0.2,"bet.2026.mix-0.2.ini",0,"inclusion",5.2,1.43508452528932,0.0865770339818928,-2.4467206950985,0.675,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,2,"E065 | h=0.933 | tau=5.20 | K=0.20 | RR=include | M0=0.0866/qtr | creep=2.0/1.00%"
"ensemble-066",0.903870708475044,0.665,0.25,"bet.2026.mix-0.25.ini",1,"exclusion",4.96,1.37624402526639,0.0921602325927703,-2.38422655824466,0.765,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,0,"E066 | h=0.904 | tau=4.96 | K=0.25 | RR=exclude | M0=0.0922/qtr | creep=2.0/1.00%"
"ensemble-067",0.786447470575952,0.105,0.05,"bet.2026.mix-0.05.ini",1,"exclusion",5.2,1.43508452528932,0.0877147804337399,-2.43366485978214,0.695,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E067 | h=0.786 | tau=5.20 | K=0.05 | RR=exclude | M0=0.0877/qtr | creep=0.5/0.25%"
"ensemble-068",0.820790515436329,0.205,0.25,"bet.2026.mix-0.25.ini",1,"exclusion",5.14,1.42069578783722,0.0914723884936324,-2.39171811733782,0.755,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,0,"E068 | h=0.821 | tau=5.14 | K=0.25 | RR=exclude | M0=0.0915/qtr | creep=1.0/0.50%"
"ensemble-069",0.857636386724039,0.375,0.35,"bet.2026.mix-0.35.ini",1,"exclusion",4.96,1.37624402526639,0.0871397706986391,-2.44024188970967,0.685,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",18,0,"E069 | h=0.858 | tau=4.96 | K=0.35 | RR=exclude | M0=0.0871/qtr | creep=1.5/0.75%"
"ensemble-070",0.764479796300167,0.065,0.3,"bet.2026.mix-0.3.ini",1,"exclusion",5.2,1.43508452528932,0.0695810567143524,-2.66526292233209,0.285,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,0,"E070 | h=0.764 | tau=5.20 | K=0.30 | RR=exclude | M0=0.0696/qtr | creep=1.5/0.75%"
"ensemble-071",0.934945675833632,0.855,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",4.96,1.37624402526639,0.114223822029392,-2.16959540430743,0.955,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E071 | h=0.935 | tau=4.96 | K=0.25 | RR=include | M0=0.1142/qtr | creep=1.0/0.50%"
"ensemble-072",0.947592253615846,0.915,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.2,1.43508452528932,0.0738396782289059,-2.60585904647707,0.395,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E072 | h=0.948 | tau=5.20 | K=0.20 | RR=exclude | M0=0.0738/qtr | creep=1.5/0.75%"
"ensemble-073",0.905387172440846,0.675,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.0766631944049427,-2.568333550123,0.465,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E073 | h=0.905 | tau=5.14 | K=0.20 | RR=exclude | M0=0.0767/qtr | creep=1.0/0.50%"
"ensemble-074",0.94525416877919,0.905,0.2,"bet.2026.mix-0.2.ini",0,"inclusion",5.14,1.42069578783722,0.110065019046874,-2.20668400556572,0.935,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,2,"E074 | h=0.945 | tau=5.14 | K=0.20 | RR=include | M0=0.1101/qtr | creep=0.5/0.25%"
"ensemble-075",0.794924316001641,0.125,0.15,"bet.2026.mix-0.15.ini",1,"exclusion",4.96,1.37624402526639,0.0810234998761951,-2.51301604445859,0.565,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,0,"E075 | h=0.795 | tau=4.96 | K=0.15 | RR=exclude | M0=0.0810/qtr | creep=1.0/0.50%"
"ensemble-076",0.826021245685335,0.225,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.0928693785870361,-2.37656130442974,0.775,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E076 | h=0.826 | tau=5.14 | K=0.20 | RR=exclude | M0=0.0929/qtr | creep=1.0/0.50%"
"ensemble-077",0.876268238679722,0.485,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",5.2,1.43508452528932,0.124679831336547,-2.08200617685464,0.985,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E077 | h=0.876 | tau=5.20 | K=0.15 | RR=include | M0=0.1247/qtr | creep=2.0/1.00%"
"ensemble-078",0.8441631832874,0.305,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",4.96,1.37624402526639,0.0754359930054103,-2.58447075705419,0.435,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E078 | h=0.844 | tau=4.96 | K=0.15 | RR=include | M0=0.0754/qtr | creep=1.5/0.75%"
"ensemble-079",0.958742756041707,0.955,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.2,1.43508452528932,0.0545172924129923,-2.90923733565788,0.005,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E079 | h=0.959 | tau=5.20 | K=0.20 | RR=exclude | M0=0.0545/qtr | creep=2.5/1.25%"
"ensemble-080",0.835561766233084,0.265,0.35,"bet.2026.mix-0.35.ini",0,"inclusion",4.96,1.37624402526639,0.0951435442378338,-2.35236853580416,0.805,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",18,18,"E080 | h=0.836 | tau=4.96 | K=0.35 | RR=include | M0=0.0951/qtr | creep=0.5/0.25%"
"ensemble-081",0.73849166020729,0.035,0.25,"bet.2026.mix-0.25.ini",1,"exclusion",5.14,1.42069578783722,0.0594651533087019,-2.82236479667286,0.055,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,0,"E081 | h=0.738 | tau=5.14 | K=0.25 | RR=exclude | M0=0.0595/qtr | creep=1.0/0.50%"
"ensemble-082",0.966535374448689,0.975,0.25,"bet.2026.mix-0.25.ini",1,"exclusion",5.2,1.43508452528932,0.104052374360553,-2.2628609069838,0.895,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,0,"E082 | h=0.967 | tau=5.20 | K=0.25 | RR=exclude | M0=0.1041/qtr | creep=1.0/0.50%"
"ensemble-083",0.899338000528099,0.635,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",5.14,1.42069578783722,0.0792205807857906,-2.53551915551266,0.525,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E083 | h=0.899 | tau=5.14 | K=0.10 | RR=include | M0=0.0792/qtr | creep=1.5/0.75%"
"ensemble-084",0.92264985972879,0.785,0.3,"bet.2026.mix-0.3.ini",1,"exclusion",4.96,1.37624402526639,0.0819613371903662,-2.50150764058633,0.585,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,0,"E084 | h=0.923 | tau=4.96 | K=0.30 | RR=exclude | M0=0.0820/qtr | creep=1.5/0.75%"
"ensemble-085",0.877862199777685,0.495,0.3,"bet.2026.mix-0.3.ini",1,"exclusion",5.14,1.42069578783722,0.112000040308056,-2.18925604779375,0.945,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,0,"E085 | h=0.878 | tau=5.14 | K=0.30 | RR=exclude | M0=0.1120/qtr | creep=2.5/1.25%"
"ensemble-086",0.776541521221879,0.085,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",5.14,1.42069578783722,0.132751390482353,-2.01927714447161,0.995,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E086 | h=0.777 | tau=5.14 | K=0.10 | RR=include | M0=0.1328/qtr | creep=2.5/1.25%"
"ensemble-087",0.897829395889862,0.625,0.05,"bet.2026.mix-0.05.ini",1,"exclusion",4.96,1.37624402526639,0.083421424528535,-2.48385011377637,0.615,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E087 | h=0.898 | tau=4.96 | K=0.05 | RR=exclude | M0=0.0834/qtr | creep=1.5/0.75%"
"ensemble-088",0.837789115487901,0.275,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",4.96,1.37624402526639,0.07835064832601,-2.54656103547267,0.505,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E088 | h=0.838 | tau=4.96 | K=0.20 | RR=exclude | M0=0.0784/qtr | creep=0.5/0.25%"
"ensemble-089",0.911509558640356,0.715,0.3,"bet.2026.mix-0.3.ini",0,"inclusion",5.14,1.42069578783722,0.0908042689184139,-2.39904897996006,0.745,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,14,"E089 | h=0.912 | tau=5.14 | K=0.30 | RR=include | M0=0.0908/qtr | creep=2.5/1.25%"
"ensemble-090",0.971919445177731,0.985,0.15,"bet.2026.mix-0.15.ini",1,"exclusion",4.96,1.37624402526639,0.0611667686075504,-2.79415123354856,0.085,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,0,"E090 | h=0.972 | tau=4.96 | K=0.15 | RR=exclude | M0=0.0612/qtr | creep=2.5/1.25%"
"ensemble-091",0.931251594371582,0.835,0.15,"bet.2026.mix-0.15.ini",1,"exclusion",4.96,1.37624402526639,0.0976896872914599,-2.32595928035158,0.835,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,0,"E091 | h=0.931 | tau=4.96 | K=0.15 | RR=exclude | M0=0.0977/qtr | creep=0.5/0.25%"
"ensemble-092",0.919387221669363,0.765,0.05,"bet.2026.mix-0.05.ini",0,"inclusion",5.14,1.42069578783722,0.102829454874771,-2.27468344098264,0.885,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E092 | h=0.919 | tau=5.14 | K=0.05 | RR=include | M0=0.1028/qtr | creep=1.5/0.75%"
"ensemble-093",0.87304061579763,0.465,0.25,"bet.2026.mix-0.25.ini",1,"exclusion",5.14,1.42069578783722,0.063982569948508,-2.74914457726954,0.145,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,0,"E093 | h=0.873 | tau=5.14 | K=0.25 | RR=exclude | M0=0.0640/qtr | creep=2.5/1.25%"
"ensemble-094",0.864689513975004,0.415,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",5.2,1.43508452528932,0.0572276723066398,-2.86071771599635,0.025,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E094 | h=0.865 | tau=5.20 | K=0.15 | RR=include | M0=0.0572/qtr | creep=0.5/0.25%"
"ensemble-095",0.896320385354245,0.615,0.05,"bet.2026.mix-0.05.ini",0,"inclusion",4.96,1.37624402526639,0.0652481899820389,-2.72955697290296,0.175,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E095 | h=0.896 | tau=4.96 | K=0.05 | RR=include | M0=0.0652/qtr | creep=2.0/1.00%"
"ensemble-096",0.908434742830431,0.695,0.3,"bet.2026.mix-0.3.ini",0,"inclusion",4.96,1.37624402526639,0.0644114917838454,-2.74246321794251,0.155,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,14,"E096 | h=0.908 | tau=4.96 | K=0.30 | RR=include | M0=0.0644/qtr | creep=2.5/1.25%"
"ensemble-097",0.828511678155121,0.235,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",4.96,1.37624402526639,0.082927097749927,-2.48979339751478,0.605,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E097 | h=0.829 | tau=4.96 | K=0.10 | RR=include | M0=0.0829/qtr | creep=1.5/0.75%"
"ensemble-098",0.861210831534553,0.395,0.3,"bet.2026.mix-0.3.ini",1,"exclusion",5.2,1.43508452528932,0.0680363469504489,-2.68771320263055,0.245,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,0,"E098 | h=0.861 | tau=5.20 | K=0.30 | RR=exclude | M0=0.0680/qtr | creep=2.0/1.00%"
"ensemble-099",0.833276325452964,0.255,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.0734463406081054,-2.61120019914041,0.385,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E099 | h=0.833 | tau=5.14 | K=0.20 | RR=exclude | M0=0.0734/qtr | creep=1.0/0.50%"
"ensemble-100",0.909968132665772,0.705,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",5.2,1.43508452528932,0.0726651074559027,-2.62189396212022,0.365,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E100 | h=0.910 | tau=5.20 | K=0.25 | RR=include | M0=0.0727/qtr | creep=1.0/0.50%"
